size,binary_search_time,fibonacci_search_time
10000,0.000220,0.000371
14974,0.000222,0.000415
19949,0.000299,0.000482
24924,0.000310,0.000550
29899,0.000331,0.000569
34874,0.000304,0.000473
39849,0.000251,0.000424
44824,0.000254,0.000447
49798,0.000255,0.000447
54773,0.000254,0.000447
59748,0.000265,0.000496
64723,0.000265,0.000480
69698,0.000271,0.000447
74673,0.000273,0.000452
79648,0.000269,0.000459
84623,0.000294,0.000458
89597,0.000271,0.000458
94572,0.000268,0.000458
99547,0.000292,0.000544
104522,0.000272,0.000502
109497,0.000315,0.000459
114472,0.000341,0.000588
119447,0.000270,0.000468
124422,0.000269,0.000482
129396,0.000268,0.000482
134371,0.000297,0.000562
139346,0.000301,0.000612
144321,0.000388,0.000669
149296,0.000287,0.000510
154271,0.000288,0.000482
159246,0.000286,0.000482
164221,0.000338,0.000514
169195,0.000362,0.000512
174170,0.000298,0.000490
179145,0.000287,0.000482
184120,0.000287,0.000482
189095,0.000352,0.000521
194070,0.000339,0.000523
199045,0.000298,0.000510
204020,0.000286,0.000521
208994,0.000367,0.000536
213969,0.000356,0.000577
218944,0.000297,0.000509
223919,0.000288,0.000495
228894,0.000287,0.000496
233869,0.000309,0.000592
238844,0.000286,0.000499
243819,0.000284,0.000495
248793,0.000284,0.000495
253768,0.000331,0.000595
258743,0.000291,0.000499
263718,0.000309,0.000496
268693,0.000348,0.000574
273668,0.000377,0.000574
278643,0.000309,0.000523
283618,0.000305,0.000496
288592,0.000331,0.000536
293567,0.000306,0.000495
298542,0.000305,0.000494
303517,0.000343,0.000497
308492,0.000338,0.000548
313467,0.000304,0.000495
318442,0.000305,0.000551
323417,0.000371,0.000569
328391,0.000306,0.000521
333366,0.000305,0.000520
338341,0.000377,0.000606
343316,0.000306,0.000520
348291,0.000305,0.000522
353266,0.000384,0.000558
358241,0.000307,0.000520
363216,0.000383,0.000525
368190,0.000348,0.000524
373165,0.000306,0.000530
378140,0.000318,0.000553
383115,0.000311,0.000525
388090,0.000305,0.000519
393065,0.000307,0.000525
398040,0.000306,0.000519
403015,0.000308,0.000543
407989,0.000372,0.000626
412964,0.000378,0.000551
417939,0.000348,0.000540
422914,0.000309,0.000535
427889,0.000307,0.000520
432864,0.000318,0.000521
437839,0.000307,0.000527
442814,0.000342,0.000521
447788,0.000317,0.000521
452763,0.000309,0.000521
457738,0.000305,0.000519
462713,0.000304,0.000519
467688,0.000307,0.000525
472663,0.000306,0.000523
477638,0.000305,0.000537
482613,0.000304,0.000523
487587,0.000308,0.000518
492562,0.000316,0.000519
497537,0.000304,0.000519
502512,0.000304,0.000520
507487,0.000303,0.000519
512462,0.000273,0.000466
517437,0.000275,0.000479
522412,0.000277,0.000478
527386,0.000295,0.000479
532361,0.000290,0.000481
537336,0.000291,0.000479
542311,0.000320,0.000533
547286,0.000320,0.000532
552261,0.000333,0.000532
557236,0.000323,0.000533
562211,0.000323,0.000532
567185,0.000323,0.000532
572160,0.000288,0.000479
577135,0.000292,0.000479
582110,0.000288,0.000479
587085,0.000288,0.000478
592060,0.000287,0.000478
597035,0.000289,0.000479
602010,0.000288,0.000479
606984,0.000288,0.000479
611959,0.000287,0.000480
616934,0.000288,0.000479
621909,0.000288,0.000479
626884,0.000289,0.000480
631859,0.000288,0.000478
636834,0.000288,0.000479
641809,0.000305,0.000523
646783,0.000295,0.000480
651758,0.000291,0.000479
656733,0.000291,0.000479
661708,0.000291,0.000490
666683,0.000290,0.000477
671658,0.000291,0.000479
676633,0.000294,0.000479
681608,0.000292,0.000478
686582,0.000291,0.000479
691557,0.000292,0.000479
696532,0.000303,0.000478
701507,0.000291,0.000479
706482,0.000288,0.000479
711457,0.000289,0.000499
716432,0.000289,0.000478
721407,0.000288,0.000480
726381,0.000288,0.000483
731356,0.000292,0.000491
736331,0.000291,0.000479
741306,0.000291,0.000480
746281,0.000291,0.000479
751256,0.000291,0.000479
756231,0.000291,0.000478
761206,0.000291,0.000479
766180,0.000292,0.000478
771155,0.000291,0.000478
776130,0.000291,0.000479
781105,0.000289,0.000479
786080,0.000291,0.000480
791055,0.000292,0.000479
796030,0.000291,0.000491
801005,0.000294,0.000480
805979,0.000292,0.000479
810954,0.000291,0.000478
815929,0.000323,0.000533
820904,0.000323,0.000533
825879,0.000321,0.000532
830854,0.000319,0.000531
835829,0.000324,0.000558
840804,0.000324,0.000556
845778,0.000325,0.000557
850753,0.000323,0.000558
855728,0.000324,0.000561
860703,0.000324,0.000557
865678,0.000324,0.000557
870653,0.000323,0.000557
875628,0.000323,0.000558
880603,0.000324,0.000560
885577,0.000322,0.000557
890552,0.000323,0.000557
895527,0.000324,0.000563
900502,0.000323,0.000556
905477,0.000324,0.000558
910452,0.000324,0.000559
915427,0.000324,0.000557
920402,0.000325,0.000572
925376,0.000324,0.000573
930351,0.000326,0.000594
935326,0.000336,0.000559
940301,0.000389,0.000680
945276,0.000325,0.000558
950251,0.000323,0.000557
955226,0.000323,0.000558
960201,0.000325,0.000557
965175,0.000323,0.000559
970150,0.000323,0.000559
975125,0.000325,0.000558
980100,0.000320,0.000557
985075,0.000323,0.000616
990050,0.000324,0.000558
995025,0.000321,0.000558
1000000,0.000323,0.000558
